Sõna,Abstraktsus,Sagedus keeles,Sagedusgrupp keeles,Sagedusgrupp õpikuis,Sagedus õpikuis,Sagedus 123,Sagedus 4,Sagedus 5,Sagedus 6,Sagedus 7,Sagedus 8,Sagedus 9
agaralt,-,6,5,7,1,0,0,0,0,0,0,1
agent,1,16,3,-,0,0,0,0,0,0,0,0
agressiivne,-,6,5,4,4,0,0,0,0,0,0,4
agressioon,2,-,-,7,1,0,0,0,0,0,0,1
agronoom,1,8,4,-,0,0,0,0,0,0,0,0
agul,1,7,5,4,4,0,0,0,0,0,4,0
ah,-,144,1,2,15,8,0,2,3,1,0,1
ah-aa,-,-,-,7,1,1,0,0,0,0,0,0
ah-ah-aa,-,-,-,5,3,3,0,0,0,0,0,0
ah-ah-haa,-,-,-,7,1,1,0,0,0,0,0,0
ahaa,-,10,4,7,1,0,0,0,0,0,1,0
ahah,-,9,4,5,3,0,0,0,0,0,1,2
ahastus,-,12,3,-,0,0,0,0,0,0,0,0
ahel,1,16,3,-,0,0,0,0,0,0,0,0
aheljutustus,3,-,-,7,1,0,0,0,1,0,0,0
ahhaa,-,7,5,6,2,0,0,0,0,0,0,2
ahhetama,-,7,5,7,1,0,0,0,0,0,0,1
ahi,1,52,2,1,30,10,1,0,1,18,0,0
ahistaja,2,-,-,7,1,0,0,0,0,0,0,1
ahistama,-,13,3,-,0,0,0,0,0,0,0,0
ahistav,-,5,5,6,2,0,0,0,0,0,0,2
ahjaa,-,-,-,7,1,0,0,0,1,0,0,0
ahjuplaat,1,-,-,7,1,1,0,0,0,0,0,0
ahjusein,1,-,-,7,1,0,0,0,0,1,0,0
ahjusuu,-,5,5,-,0,0,0,0,0,0,0,0
ahmima,-,9,4,7,1,0,0,0,0,0,0,1
ahne,-,6,5,-,0,0,0,0,0,0,0,0
ahnelt,-,-,-,7,1,0,0,0,1,0,0,0
ahnus,3,10,4,-,0,0,0,0,0,0,0,0
ahter,1,17,3,-,0,0,0,0,0,0,0,0
ahv,1,-,-,2,13,9,3,0,0,0,0,1
ahvatlema,-,11,4,-,0,0,0,0,0,0,0,0
ahvatlev,-,9,4,-,0,0,0,0,0,0,0,0
ahvatlus,-,5,5,-,0,0,0,0,0,0,0,0
ahven,1,8,4,7,1,0,0,0,1,0,0,0
ahvikari,1,-,-,7,1,0,0,0,0,0,0,1
ahvike,1,-,-,6,2,2,0,0,0,0,0,0
ai,-,59,1,3,7,7,0,0,0,0,0,0
aiajäätmed,1,-,-,7,1,0,0,0,0,0,1,0
aiamaa,1,6,5,6,2,0,0,0,0,2,0,0
aiamaja,1,5,5,-,0,0,0,0,0,0,0,0
aiandus,2,-,-,6,2,0,0,0,0,0,0,2
aiapidamine,2,-,-,7,1,0,0,0,0,0,0,1
aiasaadus,1,5,5,-,0,0,0,0,0,0,0,0
aiatöö,2,-,-,6,2,2,0,0,0,0,0,0
aids,3,-,-,7,1,0,0,0,0,0,0,1
aim,3,40,2,5,3,0,0,0,0,0,0,3
aimama,-,109,1,3,8,0,0,1,0,0,5,2
aimatav,-,6,5,-,0,0,0,0,0,0,0,0
aimdus,3,7,5,-,0,0,0,0,0,0,0,0
aime,3,20,3,-,0,0,0,0,0,0,0,0
aimuma,-,5,5,-,0,0,0,0,0,0,0,0
aimus,-,9,4,-,0,0,0,0,0,0,0,0
aina,-,159,1,2,11,2,2,1,1,0,3,2
aine,1,48,2,1,28,1,1,1,0,12,8,5
aineline,-,8,4,-,0,0,0,0,0,0,0,0
ainering,3,-,-,7,1,0,0,0,0,0,1,0
aines,3,6,5,-,0,0,0,0,0,0,0,0
ainevaldkond,3,-,-,5,3,0,0,0,0,0,0,3
ainsus,3,-,-,1,28,1,7,0,0,1,7,12
ainuisikuliselt,-,-,-,7,1,0,0,0,0,1,0,0
ainuke,-,87,1,2,10,0,2,2,1,0,0,5
ainukene,-,6,5,-,0,0,0,0,0,0,0,0
ainuklt,-,-,-,7,1,0,0,0,0,0,0,1
ainulaadne,-,6,5,4,4,0,0,0,1,1,0,2
ainult,-,1382,1,1,135,31,21,17,10,10,15,31
ainus,3,245,1,2,16,0,0,2,2,0,6,6
ainuvõimalik,-,6,5,-,0,0,0,0,0,0,0,0
ainuõige,-,7,5,-,0,0,0,0,0,0,0,0
ainuüksi,-,52,2,6,2,0,0,0,0,1,0,1
ais,1,5,5,-,0,0,0,0,0,0,0,0
ait,1,33,2,3,9,1,1,0,2,3,1,1
aitaja,2,-,-,7,1,0,0,0,0,0,1,0
aitama,-,413,1,1,132,42,15,12,23,11,14,15
aitamine,2,5,5,-,0,0,0,0,0,0,0,0
aitav,-,-,-,7,1,0,0,0,0,0,1,0
aitäh,-,23,2,1,66,58,7,0,0,1,0,0
ajaarvamine,3,5,5,3,9,0,0,0,0,9,0,0
ajaarvestus,3,-,-,7,1,0,0,0,0,1,0,0
ajajärk,3,5,5,-,0,0,0,0,0,0,0,0
ajakiri,1,54,1,1,33,1,5,8,10,0,1,8
ajakirjandus,3,101,1,4,4,0,0,0,1,0,2,1
ajakirjandustudeng,1,-,-,7,1,0,0,0,0,0,0,1
ajakirjanik,1,126,1,2,13,0,1,0,4,0,1,7
ajal,-,294,1,1,38,5,8,5,4,4,3,9
ajaleheartikkel,1,-,-,7,1,0,0,0,1,0,0,0
ajalehefirma,2,-,-,7,1,0,0,0,0,0,1,0
ajalehekiosk,1,-,-,7,1,0,0,0,1,0,0,0
ajalehemüüja,1,-,-,5,3,0,0,2,0,0,1,0
ajalehepaber,1,7,5,-,0,0,0,0,0,0,0,0
ajalehepoi,1,-,-,7,1,0,0,1,0,0,0,0
ajalehepoiss,1,-,-,3,8,0,0,7,1,0,0,0
ajaleht,1,218,1,1,52,1,5,19,18,1,3,5
ajalehtest,2,-,-,7,1,0,0,0,1,0,0,0
ajaline,-,6,5,7,1,0,0,0,0,0,1,0
ajaliselt,-,5,5,6,2,0,0,0,0,0,2,0
ajaloofilm,2,-,-,7,1,0,0,0,0,0,1,0
ajaloolane,1,33,2,7,1,0,0,0,0,1,0,0
ajaloolaps,-,8,4,-,0,0,0,0,0,0,0,0
ajalooline,-,59,1,4,5,0,0,4,0,0,1,0
ajalooliselt,-,7,5,-,0,0,0,0,0,0,0,0
ajaloosündmus,2,-,-,7,1,0,0,0,0,0,1,0
ajalooteadus,3,5,5,-,0,0,0,0,0,0,0,0
ajalooõpetaja,1,6,5,-,0,0,0,0,0,0,0,0
ajalt,-,-,-,7,1,0,0,0,1,0,0,0
ajalugu,3,168,1,2,20,0,0,5,2,7,2,4
ajama,-,485,1,1,35,5,5,3,5,8,2,7
ajamine,2,10,4,-,0,0,0,0,0,0,0,0
ajamõistmine,3,-,-,7,1,0,0,0,0,1,0,0
ajani',-,-,-,7,1,0,0,0,0,1,0,0
ajanäitaja,1,-,-,7,1,0,0,0,0,1,0,0
ajapikendus,3,9,4,-,0,0,0,0,0,0,0,0
ajapikku,-,19,3,7,1,0,0,0,1,0,0,0
ajaraiskamine,3,-,-,4,4,0,0,0,0,0,4,0
ajastu,3,43,2,5,3,0,0,0,0,2,1,0
ajatabel,3,-,-,7,1,0,0,0,0,1,0,0
ajataju,3,-,-,7,1,0,0,0,0,0,1,0
ajateenija,1,-,-,7,1,0,1,0,0,0,0,0
ajatelg,3,-,-,3,7,0,3,0,0,4,0,0
ajav,-,7,5,-,0,0,0,0,0,0,0,0
ajavahemik,3,18,3,-,0,0,0,0,0,0,0,0
ajaviide,2,11,4,4,5,0,0,4,1,0,0,0
ajavorm,3,-,-,6,2,0,0,0,0,1,0,1
ajaühik,3,-,-,5,3,0,0,0,0,3,0,0
ajel,-,5,5,-,0,0,0,0,0,0,0,0
ajend,3,15,3,-,0,0,0,0,0,0,0,0
ajendama,-,11,4,-,0,0,0,0,0,0,0,0
aju,1,48,2,4,5,0,0,0,0,1,2,2
ajuti,-,8,4,-,0,0,0,0,0,0,0,0
ajutine,-,33,2,4,4,0,0,0,0,2,0,2
ajutiselt,-,25,2,-,0,0,0,0,0,0,0,0
ajutöö,3,-,-,7,1,0,0,0,0,0,0,1
akadeemia,3,60,1,6,2,0,0,0,0,0,0,2
akadeemik,1,26,2,-,0,0,0,0,0,0,0,0
akadeemiline,-,18,3,-,0,0,0,0,0,0,0,0
aken,1,384,1,1,75,34,17,7,6,3,2,6
aknaid-uks,-,-,-,7,1,0,1,0,0,0,0,0
aknakardin,1,-,-,7,1,1,0,0,0,0,0,0
aknaklaas,1,20,3,4,4,2,0,0,1,0,1,0
aknalaud,1,26,2,-,0,0,0,0,0,0,0,0
aknapoolne,-,-,-,5,3,0,3,0,0,0,0,0
aknapragu,1,-,-,7,1,0,0,0,0,0,0,1
aknaraam,1,5,5,-,0,0,0,0,0,0,0,0
akordion,1,-,-,6,2,2,0,0,0,0,0,0
akt,1,31,2,-,0,0,0,0,0,0,0,0
aktiivne,-,44,2,3,7,5,0,1,1,0,0,0
aktiivselt,-,17,3,7,1,0,0,0,0,0,1,0
aktiivsem,-,-,-,6,2,0,0,0,2,0,0,0
aktiivsemalt,-,-,-,7,1,0,0,0,1,0,0,0
aktiivsus,3,22,2,-,0,0,0,0,0,0,0,0
aktsent,2,11,4,-,0,0,0,0,0,0,0,0
aktsepteerima,-,21,2,-,0,0,0,0,0,0,0,0
aktsia,3,297,1,6,2,0,0,0,0,0,1,1
aktsiaselts,1,88,1,-,0,0,0,0,0,0,0,0
aktsioon,3,16,3,-,0,0,0,0,0,0,0,0
aktuaalne,-,19,3,7,1,0,0,0,0,0,1,0
aku,1,-,-,5,3,0,0,0,3,0,0,0
akulaadur,1,-,-,7,1,0,0,0,1,0,0,0
akumuleeruma,-,-,-,7,1,0,0,0,0,0,1,0
akvaarium,1,-,-,2,12,7,0,1,3,0,1,0
akvarell,1,7,5,-,0,0,0,0,0,0,0,0
ala,1,113,1,2,19,0,0,0,0,3,7,9
alaealine,-,29,2,3,8,0,0,1,0,0,6,1
alahindama,-,14,3,-,0,0,0,0,0,0,0,0
alailma,-,-,-,5,3,3,0,0,0,0,0,0
alajaotus,3,-,-,6,2,0,0,0,0,2,0,0
alakeha,-,7,5,-,0,0,0,0,0,0,0,0
alal,-,32,2,6,2,0,0,0,0,1,0,1
alaline,-,22,2,7,1,0,0,0,0,0,0,1
alaltütlev,-,-,-,7,1,0,0,0,0,0,1,0
alalõpmata,-,6,5,6,2,0,0,2,0,0,0,0
alalütlev,-,-,-,7,1,0,0,0,0,0,1,0
alam,1,17,3,-,0,0,0,0,0,0,0,0
alandama,-,30,2,-,0,0,0,0,0,0,0,0
alandamine,3,-,-,7,1,0,0,0,0,0,0,1
alandav,-,5,5,4,4,0,0,0,0,0,4,0
alandlik,-,11,4,-,0,0,0,0,0,0,0,0
alandlikkus,-,5,5,-,0,0,0,0,0,0,0,0
alandus,3,10,4,-,0,0,0,0,0,0,0,0
alaosa,3,-,-,7,1,0,0,0,0,1,0,0
alasi,1,8,4,-,0,0,0,0,0,0,0,0
alasti,-,40,2,-,0,0,0,0,0,0,0,0
alatasa,-,10,4,7,1,0,0,0,0,0,1,0
alateadlikult,-,5,5,-,0,0,0,0,0,0,0,0
alateadvus,-,15,3,-,0,0,0,0,0,0,0,0
alati,-,501,1,1,66,7,6,6,8,15,13,11
alatine,-,5,5,-,0,0,0,0,0,0,0,0
alatiseks,-,7,5,-,0,0,0,0,0,0,0,0
album,1,35,2,3,7,0,0,4,0,0,3,0
aldis,-,5,5,-,0,0,0,0,0,0,0,0
ale,1,-,-,7,1,0,1,0,0,0,0,0
aleksander@starman.esi,-,-,-,7,1,0,1,0,0,0,0,0
alev,1,19,3,4,4,0,4,0,0,0,0,0
alevik,1,14,3,4,4,0,4,0,0,0,0,0
alg,-,62,1,2,14,0,8,0,2,1,1,2
algaja,2,14,3,6,2,0,0,0,1,0,1,0
algama,-,506,1,1,97,33,11,5,9,7,10,22
algataja,1,10,4,-,0,0,0,0,0,0,0,0
algatama,-,68,1,-,0,0,0,0,0,0,0,0
algatus,2,23,2,-,0,0,0,0,0,0,0,0
algav,-,18,3,6,2,0,0,1,1,0,0,0
alge,-,5,5,-,0,0,0,0,0,0,0,0
algeline,-,7,5,-,0,0,0,0,0,0,0,0
algkeel,3,-,-,7,1,0,0,0,0,0,1,0
algklass,1,11,4,-,0,0,0,0,0,0,0,0
algkool,1,7,5,7,1,0,0,0,0,1,0,0
algselt,-,20,3,-,0,0,0,0,0,0,0,0
algul,-,134,1,3,8,2,2,1,0,3,0,0
algus,2,399,1,1,55,0,5,11,5,9,17,8
algusaasta,3,-,-,7,1,0,0,0,0,0,1,0
algusaeg,3,-,-,7,1,0,0,0,0,1,0,0
algustäht,3,-,-,3,7,0,4,2,1,0,0,0
algvorm,3,-,-,7,1,0,0,0,0,1,0,0
algvõrr,3,-,-,7,1,0,0,0,1,0,0,0
algvõrre,3,-,-,7,1,0,0,1,0,0,0,0
alistama,-,-,-,7,1,0,0,0,0,0,1,0
alistuma,-,11,4,-,0,0,0,0,0,0,0,0
alistuv,-,-,-,4,4,0,0,0,0,0,0,4
alkohol,2,85,1,3,8,0,0,1,0,2,1,4
alkoholijoove,2,5,5,-,0,0,0,0,0,0,0,0
alkohoolik,1,7,5,-,0,0,0,0,0,0,0,0
alkohoolne,-,5,5,7,1,0,0,0,1,0,0,0
all,-,722,1,1,59,14,11,9,13,2,4,6
all-linn,1,9,4,-,0,0,0,0,0,0,0,0
alla,-,936,1,1,107,39,11,13,11,10,7,16
allahindlus,3,-,-,6,2,0,0,0,0,0,0,2
allajoonitud,-,-,-,3,6,0,1,1,0,1,2,1
allakriipsutatud,-,-,-,6,2,2,0,0,0,0,0,0
allapoole,-,32,2,6,2,0,0,0,0,1,1,0
allasutus,2,9,4,-,0,0,0,0,0,0,0,0
allee,-,5,5,-,0,0,0,0,0,0,0,0
alles,-,596,1,1,40,11,3,4,2,8,6,6
allesjäänud,-,9,4,-,0,0,0,0,0,0,0,0
allianss,3,6,5,-,0,0,0,0,0,0,0,0
allikas,1,59,1,3,6,0,0,2,0,0,0,4
allilm,3,16,3,-,0,0,0,0,0,0,0,0
allkiri,2,59,1,3,7,2,0,0,2,1,0,2
allohvitser,1,11,4,-,0,0,0,0,0,0,0,0
allolev,-,-,-,5,3,0,0,0,0,0,3,0
allpool,-,16,3,5,3,0,0,0,0,1,1,1
alluma,-,41,2,-,0,0,0,0,0,0,0,0
allutama,-,18,3,-,0,0,0,0,0,0,0,0
alluv,1,42,2,5,3,0,0,0,0,0,1,2
allveelaev,1,-,-,6,2,0,0,2,0,0,0,0
alt,1,214,1,2,11,2,1,3,1,2,0,2
altar,1,9,4,-,0,0,0,0,0,0,0,0
alternatiiv,3,19,3,-,0,0,0,0,0,0,0,0
alternatiivne,-,-,-,7,1,0,0,0,0,0,0,1
altkulm,-,6,5,-,0,0,0,0,0,0,0,0
altkäemaks,3,15,3,-,0,0,0,0,0,0,0,0
alumine,-,32,2,4,5,0,0,3,0,1,1,0
alune,-,30,2,-,0,0,0,0,0,0,0,0
alus,3,249,1,3,9,0,1,2,0,2,4,0
aluspesu,1,5,5,-,0,0,0,0,0,0,0,0
aluspüks,-,8,4,-,0,0,0,0,0,0,0,0
alusseelik,1,-,-,7,1,0,0,0,0,0,0,1
alustama,-,341,1,1,88,5,61,1,7,5,4,5
alustamine,2,27,2,4,4,0,2,1,0,1,0,0
alustass,1,-,-,6,2,1,0,0,0,1,0,0
alustus,2,9,4,-,0,0,0,0,0,0,0,0
ambur,1,18,3,-,0,0,0,0,0,0,0,0
ameerika,-,20,3,-,0,0,0,0,0,0,0,0
ameerikalik,-,-,-,7,1,0,0,0,0,0,1,0
ameeriklane,1,54,1,6,2,0,0,0,0,2,0,0
amet,2,247,1,1,38,0,5,3,1,0,10,19
ametiasutus,2,7,5,-,0,0,0,0,0,0,0,0
ametiauto,1,8,4,6,2,0,0,0,0,0,0,2
ametiisik,1,14,3,-,0,0,0,0,0,0,0,0
ametikoht,3,53,1,-,0,0,0,0,0,0,0,0
ametikool,1,-,-,6,2,0,0,0,0,2,0,0
ametimees,1,18,3,7,1,0,0,0,1,0,0,0
ametipost,3,9,4,-,0,0,0,0,0,0,0,0
ametivõim,3,5,5,-,0,0,0,0,0,0,0,0
ametiühing,2,16,3,-,0,0,0,0,0,0,0,0
ametkond,2,9,4,-,0,0,0,0,0,0,0,0
ametlik,-,96,1,4,5,0,0,2,0,0,1,2
ametlikult,-,37,2,7,1,0,0,1,0,0,0,0
ametnik,1,168,1,-,0,0,0,0,0,0,0,0
amfetamiin,1,-,-,7,1,0,0,0,0,1,0,0
ammendama,-,6,5,-,0,0,0,0,0,0,0,0
ammendamatu,-,5,5,-,0,0,0,0,0,0,0,0
ammu,-,142,1,2,15,5,0,3,1,4,0,2
ammugi,-,19,3,-,0,0,0,0,0,0,0,0
ammune,-,15,3,7,1,0,0,0,0,0,0,1
ammutama,-,12,3,-,0,0,0,0,0,0,0,0
amnestia,-,6,5,-,0,0,0,0,0,0,0,0
amps,2,-,-,7,1,1,0,0,0,0,0,0
amuuri,-,-,-,6,2,0,2,0,0,0,0,0
analoog,3,11,4,-,0,0,0,0,0,0,0,0
analoogiline,-,11,4,7,1,0,0,0,0,1,0,0
analüüs,3,38,2,-,0,0,0,0,0,0,0,0
analüüsima,-,24,2,5,3,0,0,0,3,0,0,0
ananass,1,-,-,3,6,5,0,0,0,0,0,1
and,2,10,4,3,7,3,0,0,0,0,0,4
andekam,-,7,5,7,1,0,0,0,0,0,1,0
andekas,-,36,2,3,7,0,0,0,1,0,5,1
andeks,-,56,1,3,6,5,0,0,0,0,1,0
andekus,3,6,5,-,0,0,0,0,0,0,0,0
andestama,-,23,2,7,1,0,0,1,0,0,0,0
andestus,-,7,5,-,0,0,0,0,0,0,0,0
andev,-,12,3,6,2,0,0,0,0,0,1,1
andja,2,6,5,-,0,0,0,0,0,0,0,0
andma,-,1985,1,1,189,44,23,13,29,22,28,30
andme,2,-,-,7,1,0,0,0,0,0,0,1
andmed,3,265,1,2,13,0,1,0,6,4,1,1
andmine,2,93,1,2,10,0,2,0,1,1,3,3
andunult,-,5,5,-,0,0,0,0,0,0,0,0
anekdoot,3,18,3,4,4,0,1,1,1,0,1,0
angerjas,1,6,5,-,0,0,0,0,0,0,0,0
ankeet,1,6,5,2,16,4,5,2,0,0,0,5
ankur,1,10,4,7,1,0,0,0,0,0,1,0
anna,1,192,1,1,44,19,5,12,1,2,3,2
anne,3,66,1,1,29,23,1,3,1,0,1,0
annetama,-,16,3,5,3,0,0,0,0,0,0,3
annetus,2,12,3,-,0,0,0,0,0,0,0,0
annikas,-,17,3,-,0,0,0,0,0,0,0,0
annus,2,24,2,7,1,0,0,0,0,1,0,0
anonüümne,-,11,4,-,0,0,0,0,0,0,0,0
ansambel,1,27,2,3,8,0,0,1,0,0,4,3
antav,-,11,4,5,3,0,0,0,0,1,0,2
antenn,1,6,5,3,7,6,0,0,0,0,1,0
antiikne,-,6,5,-,0,0,0,0,0,0,0,0
antikeha,3,-,-,7,1,0,0,0,0,0,0,1
antonüüm,3,-,-,3,6,0,0,0,2,0,0,4
antu,-,10,4,-,0,0,0,0,0,0,0,0
anum,1,5,5,5,3,0,0,0,0,3,0,0
anuma,-,16,3,-,0,0,0,0,0,0,0,0
aparaat,1,28,2,5,3,0,0,0,1,1,0,1
apelsin,1,6,5,2,15,11,0,0,3,0,0,1
apelsinimahl,1,-,-,6,2,0,2,0,0,0,0,0
apikkurlühikes,-,-,-,7,1,1,0,0,0,0,0,0
aplaus,2,10,4,-,0,0,0,0,0,0,0,0
apollo,3,8,4,-,0,0,0,0,0,0,0,0
aprill,3,129,1,2,15,3,5,0,2,0,2,3
aps,2,10,4,-,0,0,0,0,0,0,0,0
apsat,-,-,-,5,3,3,0,0,0,0,0,0
apteek,1,19,3,2,22,7,9,0,1,3,0,2
apteeker,-,5,5,-,0,0,0,0,0,0,0,0
araabia,-,7,5,4,5,0,0,0,1,1,0,3
araablane,1,14,3,3,7,0,0,0,0,0,0,7
arapp,-,-,-,7,1,0,0,1,0,0,0,0
arbuus,1,-,-,3,9,7,0,2,0,0,0,0
areen,1,15,3,-,0,0,0,0,0,0,0,0
arem,-,-,-,3,7,7,0,0,0,0,0,0
arendaja,3,-,-,7,1,0,0,0,0,1,0,0
arendama,-,58,1,4,4,0,0,1,0,1,2,0
arendamine,2,38,2,6,2,0,0,0,1,0,1,0
arenema,-,96,1,4,5,0,0,0,0,3,0,2
arenev,-,7,5,7,1,0,0,0,0,0,1,0
areng,3,158,1,3,7,0,0,0,0,4,1,2
arenguruum,3,11,4,-,0,0,0,0,0,0,0,0
arenguvõime,3,-,-,4,4,0,0,0,0,0,4,0
arest,2,5,5,-,0,0,0,0,0,0,0,0
aretama,-,-,-,7,1,0,0,1,0,0,0,0
arg,-,32,2,2,19,12,0,2,4,1,0,0
argielu,3,8,4,-,0,0,0,0,0,0,0,0
argipäev,2,18,3,5,3,0,0,3,0,0,0,0
arglik,-,5,5,-,0,0,0,0,0,0,0,0
argument,3,25,2,-,0,0,0,0,0,0,0,0
argus,-,20,3,-,0,0,0,0,0,0,0,0
arheoloogia,3,11,4,-,0,0,0,0,0,0,0,0
arhiiv,1,37,2,-,0,0,0,0,0,0,0,0
arhitekt,1,33,2,-,0,0,0,0,0,0,0,0
arhitektuur,3,5,5,7,1,0,0,1,0,0,0,0
ari,-,-,-,7,1,0,1,0,0,0,0,0
